기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20252,11110,종로구,CS100001,한식음식점,2500.0,2747.0,3.3,90.0,2.9,79.0,247.0
20252,11110,종로구,CS200005,스포츠 강습,176.0,182.0,3.8,7.0,3.3,6.0,6.0
20252,11470,양천구,CS100008,분식전문점,261.0,361.0,2.5,9.0,3.6,13.0,100.0
20252,11470,양천구,CS100009,호프-간이주점,400.0,454.0,1.5,7.0,2.9,13.0,54.0
20252,11470,양천구,CS200020,전자게임장,9.0,9.0,0.0,0.0,0.0,0.0,0.0
20252,11470,양천구,CS200021,기타오락장,26.0,30.0,10.0,3.0,0.0,0.0,4.0
20252,11470,양천구,CS200022,복권방,40.0,40.0,0.0,0.0,0.0,0.0,0.0
20252,11470,양천구,CS200023,통신기기수리,12.0,12.0,0.0,0.0,0.0,0.0,0.0
20252,11470,양천구,CS200024,스포츠클럽,212.0,219.0,12.8,28.0,1.4,3.0,7.0
20252,11470,양천구,CS200025,자동차수리,207.0,221.0,0.5,1.0,0.5,1.0,14.0
20252,11470,양천구,CS200026,자동차미용,73.0,78.0,1.3,1.0,0.0,0.0,5.0
20252,11470,양천구,CS200027,모터사이클수리,25.0,27.0,3.7,1.0,0.0,0.0,2.0
20252,11470,양천구,CS200028,미용실,862.0,945.0,1.9,18.0,1.2,11.0,83.0
20252,11470,양천구,CS200029,네일숍,172.0,176.0,0.0,0.0,4.5,8.0,4.0
20252,11500,강서구,CS200008,한의원,200.0,200.0,1.5,3.0,1.0,2.0,0.0
20252,11500,강서구,CS200016,당구장,205.0,210.0,3.3,7.0,3.3,7.0,5.0
20252,11500,강서구,CS200018,볼링장,13.0,13.0,0.0,0.0,0.0,0.0,0.0
20252,11500,강서구,CS200032,가전제품수리,191.0,191.0,5.2,10.0,1.0,2.0,0.0
20252,11500,강서구,CS300002,편의점,156.0,524.0,3.1,16.0,2.3,12.0,368.0
20252,11500,강서구,CS300006,미곡판매,88.0,88.0,0.0,0.0,0.0,0.0,0.0
20252,11500,강서구,CS300010,반찬가게,559.0,580.0,2.6,15.0,2.9,17.0,21.0
20252,11500,강서구,CS300012,한복점,6.0,6.0,16.7,1.0,0.0,0.0,0.0
20252,11500,강서구,CS300027,섬유제품,133.0,133.0,8.3,11.0,0.0,0.0,0.0
20252,11500,강서구,CS300030,중고가구,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20252,11500,강서구,CS300042,주유소,74.0,74.0,0.0,0.0,2.7,2.0,0.0
20252,11530,구로구,CS100002,중식음식점,388.0,417.0,3.6,15.0,3.6,15.0,29.0
20252,11530,구로구,CS200004,컴퓨터학원,26.0,26.0,3.8,1.0,0.0,0.0,0.0
20252,11530,구로구,CS200006,일반의원,339.0,339.0,0.6,2.0,0.6,2.0,0.0
20252,11530,구로구,CS200013,기타법무서비스,141.0,141.0,1.4,2.0,0.7,1.0,0.0
20252,11530,구로구,CS200014,회계사사무소,56.0,56.0,0.0,0.0,0.0,0.0,0.0
20252,11530,구로구,CS200026,자동차미용,78.0,84.0,2.4,2.0,0.0,0.0,6.0
20252,11530,구로구,CS200030,피부관리실,321.0,327.0,7.0,23.0,5.2,17.0,6.0
20252,11530,구로구,CS300008,수산물판매,134.0,135.0,0.7,1.0,1.5,2.0,1.0
20252,11530,구로구,CS300018,의약품,301.0,321.0,0.9,3.0,0.9,3.0,20.0
20252,11530,구로구,CS300020,서적,170.0,172.0,0.6,1.0,4.7,8.0,2.0
20252,11530,구로구,CS300026,완구,39.0,40.0,5.0,2.0,5.0,2.0,1.0
20252,11110,종로구,CS200035,게스트하우스,255.0,256.0,0.0,0.0,0.4,1.0,1.0
20252,11110,종로구,CS200036,고시원,7.0,7.0,0.0,0.0,0.0,0.0,0.0
20252,11545,금천구,CS200013,기타법무서비스,103.0,103.0,1.9,2.0,1.0,1.0,0.0
20252,11545,금천구,CS200023,통신기기수리,46.0,46.0,2.2,1.0,2.2,1.0,0.0
20252,11545,금천구,CS200030,피부관리실,163.0,166.0,5.4,9.0,3.0,5.0,3.0
20252,11545,금천구,CS200037,노래방,182.0,185.0,1.6,3.0,3.8,7.0,3.0
20252,11545,금천구,CS200039,DVD방,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20252,11545,금천구,CS200044,여행사,172.0,172.0,0.0,0.0,2.9,5.0,0.0
20252,11545,금천구,CS300021,문구,176.0,186.0,0.0,0.0,1.6,3.0,10.0
20252,11545,금천구,CS300024,운동/경기용품,192.0,194.0,0.5,1.0,1.5,3.0,2.0
20252,11110,종로구,CS300018,의약품,255.0,268.0,3.0,8.0,3.0,8.0,13.0
20252,11545,금천구,CS300027,섬유제품,90.0,90.0,4.4,4.0,2.2,2.0,0.0
20252,11545,금천구,CS300035,인테리어,158.0,158.0,4.4,7.0,2.5,4.0,0.0
20252,11545,금천구,CS300038,자동차부품,144.0,144.0,0.0,0.0,0.7,1.0,0.0
20252,11560,영등포구,CS100002,중식음식점,622.0,673.0,3.7,25.0,4.5,30.0,51.0
20252,11110,종로구,CS300020,서적,197.0,197.0,2.0,4.0,1.0,2.0,0.0
20252,11110,종로구,CS300026,완구,33.0,33.0,9.1,3.0,3.0,1.0,0.0
20252,11560,영등포구,CS100004,양식음식점,308.0,348.0,2.0,7.0,3.2,11.0,40.0
20252,11560,영등포구,CS100008,분식전문점,394.0,530.0,3.8,20.0,2.5,13.0,136.0
20252,11110,종로구,CS200031,세탁소,106.0,119.0,2.5,3.0,2.5,3.0,13.0
20252,11560,영등포구,CS100010,커피-음료,987.0,1424.0,4.0,57.0,4.5,64.0,437.0
20252,11560,영등포구,CS200006,일반의원,459.0,459.0,1.5,7.0,0.9,4.0,0.0
20252,11560,영등포구,CS200017,골프연습장,98.0,107.0,1.9,2.0,0.9,1.0,9.0
20252,11560,영등포구,CS200034,여관,246.0,246.0,4.9,12.0,5.3,13.0,0.0
20252,11560,영등포구,CS200038,독서실,109.0,127.0,2.4,3.0,1.6,2.0,18.0
20252,11560,영등포구,CS200044,여행사,400.0,400.0,0.8,3.0,2.0,8.0,0.0
20252,11560,영등포구,CS200046,의류임대,11.0,11.0,0.0,0.0,9.1,1.0,0.0
20252,11560,영등포구,CS300002,편의점,166.0,477.0,2.5,12.0,2.5,12.0,311.0
20252,11560,영등포구,CS300008,수산물판매,182.0,183.0,0.0,0.0,2.7,5.0,1.0
20252,11560,영등포구,CS300016,안경,99.0,130.0,1.5,2.0,0.8,1.0,31.0
20252,11560,영등포구,CS300028,화초,282.0,285.0,2.5,7.0,1.1,3.0,3.0
20252,11590,동작구,CS100003,일식음식점,139.0,174.0,1.1,2.0,1.1,2.0,35.0
20252,11590,동작구,CS100009,호프-간이주점,420.0,475.0,1.5,7.0,3.2,15.0,55.0
20252,11590,동작구,CS200004,컴퓨터학원,9.0,9.0,0.0,0.0,22.2,2.0,0.0
20252,11590,동작구,CS200010,변호사사무소,21.0,21.0,0.0,0.0,4.8,1.0,0.0
20252,11590,동작구,CS200016,당구장,107.0,107.0,3.7,4.0,0.9,1.0,0.0
20252,11590,동작구,CS200043,건축물청소,168.0,173.0,0.0,0.0,3.5,6.0,5.0
20252,11590,동작구,CS300001,슈퍼마켓,241.0,389.0,4.6,18.0,2.1,8.0,148.0
20252,11590,동작구,CS300005,주류도매,11.0,11.0,0.0,0.0,0.0,0.0,0.0
20252,11590,동작구,CS300008,수산물판매,1003.0,1003.0,0.0,0.0,1.7,17.0,0.0
20252,11590,동작구,CS300010,반찬가게,206.0,216.0,1.4,3.0,0.9,2.0,10.0
20252,11590,동작구,CS300015,가방,31.0,32.0,3.1,1.0,6.3,2.0,1.0
20252,11590,동작구,CS300016,안경,62.0,82.0,2.4,2.0,1.2,1.0,20.0
20252,11590,동작구,CS300033,철물점,66.0,66.0,0.0,0.0,0.0,0.0,0.0
20252,11590,동작구,CS300036,조명용품,116.0,116.0,1.7,2.0,0.9,1.0,0.0
20252,11620,관악구,CS100005,제과점,186.0,241.0,2.9,7.0,3.3,8.0,55.0
20252,11620,관악구,CS200008,한의원,150.0,150.0,1.3,2.0,0.7,1.0,0.0
20252,11620,관악구,CS200018,볼링장,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20252,11620,관악구,CS300019,의료기기,105.0,106.0,0.0,0.0,1.9,2.0,1.0
20252,11620,관악구,CS300021,문구,94.0,106.0,2.8,3.0,1.9,2.0,12.0
20252,11620,관악구,CS300027,섬유제품,65.0,65.0,6.2,4.0,1.5,1.0,0.0
20252,11620,관악구,CS300039,모터사이클및부품,40.0,40.0,7.5,3.0,0.0,0.0,0.0
20252,11650,서초구,CS100001,한식음식점,2431.0,2795.0,2.9,80.0,2.6,73.0,364.0
20252,11650,서초구,CS200012,법무사사무소,824.0,824.0,2.8,23.0,0.8,7.0,0.0
20252,11650,서초구,CS200029,네일숍,227.0,229.0,0.0,0.0,1.3,3.0,2.0
20252,11650,서초구,CS200033,부동산중개업,3127.0,3128.0,0.0,0.0,1.4,44.0,1.0
20252,11650,서초구,CS200035,게스트하우스,37.0,37.0,0.0,0.0,2.7,1.0,0.0
20252,11650,서초구,CS200036,고시원,8.0,8.0,0.0,0.0,0.0,0.0,0.0
20252,11650,서초구,CS200039,DVD방,8.0,8.0,37.5,3.0,0.0,0.0,0.0
20252,11650,서초구,CS300012,한복점,12.0,12.0,0.0,0.0,0.0,0.0,0.0
20252,11650,서초구,CS300014,신발,166.0,170.0,0.6,1.0,0.0,0.0,4.0
20252,11650,서초구,CS300015,가방,179.0,180.0,1.7,3.0,1.7,3.0,1.0
20252,11650,서초구,CS300020,서적,290.0,297.0,2.0,6.0,1.3,4.0,7.0
20252,11650,서초구,CS300027,섬유제품,237.0,237.0,2.5,6.0,0.8,2.0,0.0
20252,11650,서초구,CS300031,가구,326.0,327.0,0.9,3.0,0.9,3.0,1.0
20252,11650,서초구,CS300032,가전제품,154.0,154.0,0.0,0.0,0.6,1.0,0.0
20252,11680,강남구,CS100004,양식음식점,1268.0,1394.0,3.3,46.0,3.0,42.0,126.0
20252,11680,강남구,CS200013,기타법무서비스,357.0,357.0,0.3,1.0,1.1,4.0,0.0
20252,11680,강남구,CS200044,여행사,648.0,648.0,0.8,5.0,1.1,7.0,0.0
20252,11680,강남구,CS200045,비디오/서적임대,14.0,16.0,0.0,0.0,0.0,0.0,2.0
20252,11680,강남구,CS200047,가정용품임대,89.0,89.0,0.0,0.0,2.2,2.0,0.0
20252,11680,강남구,CS300001,슈퍼마켓,462.0,816.0,5.1,42.0,2.0,16.0,354.0
20252,11680,강남구,CS300014,신발,287.0,293.0,0.7,2.0,1.7,5.0,6.0
20252,11680,강남구,CS300018,의약품,856.0,912.0,3.0,27.0,1.9,17.0,56.0
20252,11680,강남구,CS300019,의료기기,406.0,407.0,0.2,1.0,1.0,4.0,1.0
20252,11680,강남구,CS300029,애완동물,210.0,215.0,5.1,11.0,0.9,2.0,5.0
20252,11680,강남구,CS300031,가구,490.0,491.0,0.6,3.0,1.6,8.0,1.0
20252,11680,강남구,CS300033,철물점,103.0,103.0,2.9,3.0,0.0,0.0,0.0
20252,11680,강남구,CS300038,자동차부품,268.0,268.0,1.1,3.0,2.6,7.0,0.0
20252,11710,송파구,CS100006,패스트푸드점,193.0,456.0,2.4,11.0,5.0,23.0,263.0
20252,11710,송파구,CS100008,분식전문점,567.0,799.0,4.8,38.0,5.4,43.0,232.0
20252,11710,송파구,CS200017,골프연습장,194.0,209.0,2.9,6.0,2.4,5.0,15.0
