iter	Accuracy	Logloss
0	0.7508083907	0.5460611237
1	0.763473178	0.5051280199
2	0.783102562	0.4741032285
3	0.7894660476	0.4597637127
4	0.792886162	0.4503726095
5	0.7972804908	0.4441290218
6	0.8003689578	0.4392962263
7	0.8070226349	0.4289392632
8	0.8139872316	0.4167462972
9	0.8174488019	0.4111526029
10	0.8196874223	0.4058815253
11	0.8214078435	0.4029206684
12	0.8228795291	0.4005611089
13	0.8283931681	0.3920953154
14	0.8328496808	0.3838661559
15	0.836394163	0.3769674719
16	0.8420528978	0.3666353069
17	0.8463021308	0.3591020613
18	0.8499709808	0.3492110045
19	0.852313241	0.3447079334
20	0.8528314402	0.343174894
21	0.8534118232	0.3416672562
22	0.8539092944	0.339674652
23	0.8552980682	0.3373590059
24	0.857205041	0.3348492452
25	0.8576817843	0.3329238462
26	0.8583658071	0.3312381448
27	0.8597960368	0.3283075159
28	0.8612884504	0.3258421304
29	0.8615993699	0.3245590579
30	0.8625114004	0.3219221235
31	0.8630295995	0.3206281718
32	0.8638379902	0.3188604992
33	0.8645427411	0.3171673709
34	0.8656827792	0.3156330056
35	0.8661802504	0.314636447
36	0.8671544648	0.3117916384
37	0.868232319	0.3091953568
38	0.8684810546	0.30749156
39	0.8694138131	0.3065008128
40	0.8706782191	0.3049338665
41	0.8709269546	0.3037813016
42	0.8715280657	0.3025031447
43	0.8727095597	0.3003142569
44	0.8733728547	0.2989783449
45	0.8743056131	0.2969502991
46	0.8754249233	0.2953530863
47	0.8756529309	0.2947753302
48	0.8765027775	0.293674762
49	0.876813697	0.2925183894
50	0.8775599038	0.2914768778
51	0.8778708233	0.2906260095
52	0.8778500953	0.2898699966
53	0.8783061106	0.2891257707
54	0.8786170301	0.287598311
55	0.8807105547	0.2834292604
56	0.8812287538	0.2823498899
57	0.8821407843	0.2811947823
58	0.8822444242	0.280249525
59	0.8826382555	0.2795275322
60	0.8833015505	0.2783247358
61	0.8838612055	0.276967078
62	0.8840270293	0.2760511922
63	0.8852499793	0.2751284341
64	0.8855608988	0.2742526042
65	0.8857267225	0.2735074575
66	0.8859340022	0.2727694364
67	0.8867216649	0.271918542
68	0.8873849598	0.2707592154
69	0.8879238869	0.2699933023
70	0.8884213581	0.2688410383
71	0.8889810132	0.2677827968
72	0.8892712047	0.2671329128
73	0.8895199403	0.2664379149
74	0.8899966835	0.2653257741
75	0.8904941547	0.2647435339
76	0.8908050742	0.2638801354
77	0.891530553	0.2630422726
78	0.8920280242	0.2621497585
79	0.8926913191	0.2589113508
80	0.8935204378	0.2570388116
81	0.8939349971	0.256200467
82	0.8941837327	0.2555321895
83	0.8944739242	0.2548522824
84	0.8950750352	0.2543559202
85	0.895199403	0.2533954315
86	0.89584197	0.2528332038
87	0.8964845369	0.2502230371
88	0.8969820081	0.2484595416
89	0.8974587513	0.2474653038
90	0.8979147666	0.2467817272
91	0.8982049581	0.2463181284
92	0.8989304369	0.2455082747
93	0.8997802836	0.2447409545
94	0.9001948429	0.2440172663
95	0.9004021225	0.2436523773
96	0.9005679463	0.2430669073
97	0.9011068734	0.2423656027
98	0.9017494403	0.2417144412
99	0.9018530802	0.241257794
100	0.9019981759	0.240384498
101	0.9021432717	0.2396140622
102	0.9028687505	0.2390301736
103	0.902599287	0.2384913701
104	0.9032833098	0.2380470331
105	0.9034905895	0.2374555586
106	0.9036149573	0.2368239242
107	0.9036356853	0.2361766706
108	0.9037600531	0.2356497246
109	0.9038429649	0.2353144897
110	0.9041746124	0.2346885114
111	0.9042367963	0.2342836703
112	0.9045062598	0.2336138027
113	0.9049830031	0.2331837412
114	0.9053561065	0.2326978704
115	0.9060401293	0.2319816134
116	0.9063510488	0.2309907207
117	0.9067034243	0.2303702774
118	0.9072630793	0.2296928599
119	0.9075325429	0.2291276377
120	0.9077190946	0.2287195825
121	0.90807147	0.2280807783
122	0.9081336539	0.2277930917
123	0.9085482132	0.2272147257
124	0.9091285963	0.2267105645
125	0.9096675234	0.2260108092
126	0.9099784429	0.225173963
127	0.9106002819	0.2243112616
128	0.9112635768	0.2236849703
129	0.9112013929	0.2231540665
130	0.9112221209	0.2223046908
131	0.9118025039	0.2215894602
132	0.9119061438	0.2211769757
133	0.9120719675	0.2206440255
134	0.9125487107	0.2200848923
135	0.9128389022	0.219650363
136	0.9130876378	0.219112797
137	0.9132741895	0.2185138427
138	0.9134607412	0.2181174477
139	0.9141447641	0.217574639
140	0.9141654921	0.2169902876
141	0.9145593234	0.2165003877
142	0.9150567946	0.2158061375
143	0.9152018904	0.2151969488
144	0.9155542658	0.2147149537
145	0.9158237294	0.2140880752
146	0.9162382887	0.213377402
147	0.9164455684	0.2130633716
148	0.9165906641	0.2127060453
149	0.9171917751	0.2122318439
150	0.9171917751	0.2117175484
151	0.9172125031	0.2110572089
152	0.9175234226	0.2104824576
153	0.917896526	0.2099464697
154	0.9184147251	0.2094346248
155	0.9185805489	0.2090335394
156	0.9186427328	0.2084593158
157	0.9188500124	0.2079287
158	0.919119476	0.2076539261
159	0.9196584031	0.2069841946
160	0.9198449548	0.2063778468
161	0.9202595141	0.2057667604
162	0.9206740735	0.2051561228
163	0.9210679048	0.2046724352
164	0.9211093607	0.204333353
165	0.9215031921	0.2039000843
166	0.9214617362	0.2032870135
167	0.9218762955	0.202843668
168	0.9220835752	0.2023543489
169	0.9225810463	0.2017100317
170	0.9229748777	0.201258328
171	0.9235759887	0.2007742462
172	0.9234930769	0.2003818408
173	0.923430893	0.2000500418
174	0.9237418125	0.1998195644
175	0.9237832684	0.1994770334
176	0.9243843794	0.1985845478
177	0.9245502031	0.1981961192
178	0.9251305862	0.1974196529
179	0.9251098582	0.1971149921
180	0.9254207777	0.1967185041
181	0.9257524252	0.1964827575
182	0.9258975209	0.1961235321
183	0.9258146091	0.1957762797
184	0.926457176	0.1953132756
185	0.9264157201	0.1945592932
186	0.9268095514	0.1941096858
187	0.9268924633	0.1937275628
188	0.927079015	0.1934210941
189	0.9273277506	0.1926531123
190	0.9276386701	0.1922126451
191	0.9277630379	0.1917430947
192	0.9279288616	0.191503491
193	0.9284470608	0.1910284884
194	0.9287165243	0.1903880605
195	0.9291310837	0.1898651038
196	0.9294005472	0.1894432742
197	0.9297321947	0.1889410932
198	0.9297529226	0.1886934353
199	0.9298980184	0.1882669622
200	0.9306234972	0.1875961072
201	0.9304369455	0.1873364397
202	0.9304369455	0.1869698732
203	0.9309551447	0.1864501896
204	0.9310173286	0.1861650256
205	0.931390432	0.1857284822
206	0.9315147998	0.1853899766
207	0.9318049913	0.1848258103
208	0.9323024625	0.1842997059
209	0.9322195506	0.1837656862
210	0.9324061023	0.1833700255
211	0.9326962938	0.1827417281
212	0.9327999337	0.1824203994
213	0.9328828455	0.1820648817
214	0.9327584777	0.1815952649
215	0.9331108532	0.181207096
216	0.9333595888	0.1809881037
217	0.933794876	0.1805691071
218	0.933815604	0.180216539
219	0.9339814277	0.1798560137
220	0.9340228837	0.1795723302
221	0.9340228837	0.1792339105
222	0.9343545311	0.1786509464
223	0.9346861786	0.1781449306
224	0.9347483625	0.177757272
225	0.9346447227	0.1774167398
226	0.9353080176	0.1770255332
227	0.935639665	0.1767559235
228	0.9359091286	0.1764067263
229	0.9361371362	0.176061059
230	0.936282232	0.1757046056
231	0.9365516955	0.1753032291
232	0.9364895116	0.1748758389
233	0.9369247989	0.1744001278
234	0.9370906227	0.1739085717
235	0.9373600862	0.1735698339
236	0.9376088218	0.1731279774
237	0.9378782854	0.1726599695
238	0.9382721167	0.1723266178
239	0.9384586684	0.1718876233
240	0.938707404	0.1716785255
241	0.9386244922	0.1713057129
242	0.9386659481	0.1712246215
243	0.9390390515	0.1709307642
244	0.9393706989	0.1706192847
245	0.9394121549	0.1702644598
246	0.9395572506	0.1700501499
247	0.9399925379	0.1697408217
248	0.9401790896	0.1693737595
249	0.9401790896	0.1689654323
250	0.9405107371	0.1684643028
251	0.9406351049	0.1681212061
252	0.9408838405	0.167648776
253	0.9410082083	0.1672793737
254	0.9412983998	0.1667637166
255	0.9415264074	0.1664127305
256	0.9416300473	0.1659625025
257	0.9420031507	0.1656339397
258	0.9423555261	0.1653647509
259	0.9425006218	0.1649714744
260	0.9427493574	0.1647610739
261	0.9425628057	0.1644574996
262	0.9429773651	0.1639426524
263	0.9431224608	0.1633383794
264	0.9433297405	0.1628892953
265	0.9433504685	0.1625045784
266	0.9436613879	0.162147652
267	0.944241771	0.1616903541
268	0.9441588591	0.1614138376
269	0.9446148744	0.161167307
270	0.9448843379	0.1609539357
271	0.9450916176	0.1606277867
272	0.9451538015	0.1603580108
273	0.9450708896	0.1598951891
274	0.9451952574	0.1596242992
275	0.9457341846	0.1591980672
276	0.9457756405	0.1588487064
277	0.9459207363	0.1585675592
278	0.9459621922	0.1582329975
279	0.9461487439	0.1579946111
280	0.9463767515	0.1576401132
281	0.9465840312	0.1573200457
282	0.9469571346	0.1568696108
283	0.9472058702	0.1563847924
284	0.947288782	0.1559393099
285	0.9474546058	0.155570404
286	0.9478069812	0.1551550763
287	0.947931349	0.1548736213
288	0.9480349888	0.1546839331
289	0.9481593566	0.1544793924
290	0.9483459083	0.1542870945
291	0.9485946439	0.1539003661
292	0.9488848354	0.1533981938
293	0.9490299312	0.1531176909
294	0.949154299	0.1529428518
295	0.9490506591	0.1525973969
296	0.9492579388	0.1523666142
297	0.9495274024	0.1519652078
298	0.9497139541	0.1516769682
299	0.9497139541	0.1514701424
300	0.9499005058	0.151107317
301	0.9502528812	0.1507569554
302	0.9504601608	0.1505471759
303	0.9504808888	0.150363998
304	0.950397977	0.1499926823
305	0.9506881685	0.1497250624
306	0.9512063676	0.1493112035
307	0.9514758312	0.1490251452
308	0.951620927	0.1488290975
309	0.9516831109	0.1483422093
310	0.9520147583	0.1480361664
311	0.9520769422	0.14768308
312	0.9520147583	0.1473274913
313	0.9523464058	0.1470737037
314	0.9524707736	0.1468727279
315	0.9526158693	0.1466539833
316	0.9526987812	0.1464639557
317	0.9527816931	0.1462891624
318	0.952823149	0.1460383526
319	0.9530304287	0.1456766836
320	0.9530511566	0.1454480737
321	0.9532584363	0.1451082426
322	0.95342426	0.1448465942
323	0.9537559075	0.1444956763
324	0.9537144515	0.1443054493
325	0.9541290109	0.1439895019
326	0.9544606583	0.1436142774
327	0.9544192024	0.143336492
328	0.95464721	0.1430271621
329	0.9547301219	0.1426038803
330	0.9548544897	0.142447377
331	0.9550617693	0.1421180596
332	0.9552068651	0.1418932403
333	0.9553934168	0.1416391776
334	0.9556214244	0.1411289848
335	0.9558079761	0.1408437569
336	0.9557250643	0.1405781583
337	0.9561396236	0.1403681558
338	0.9562639914	0.140250733
339	0.9564298151	0.1400379531
340	0.9564298151	0.1397783452
341	0.9566370948	0.139630209
342	0.9566370948	0.1393495266
343	0.9568236465	0.139056362
344	0.9570309261	0.1387916111
345	0.9572589338	0.1385828962
346	0.9574662134	0.1382551681
347	0.9578185888	0.1377704983
348	0.9581916922	0.1374437546
349	0.9581709643	0.1372514305
350	0.9584404278	0.1368211931
351	0.9585647956	0.1366151503
352	0.9588757151	0.1363362218
353	0.9590000829	0.1359246136
354	0.9593939143	0.1356261231
355	0.9594560982	0.135390297
356	0.9598706575	0.1350371736
357	0.9599742973	0.1347898764
358	0.960181577	0.1344495374
359	0.9604924965	0.1341475103
360	0.9604095846	0.1337154975
361	0.9605961363	0.1334679435
362	0.9609070558	0.1332676286
363	0.9611557914	0.1329916433
364	0.9612179753	0.1327544746
365	0.9612594312	0.1325263788
366	0.961425255	0.1322412031
367	0.9614459829	0.1320057022
368	0.9615496228	0.1318522818
369	0.9615081668	0.1314645659
370	0.96198491	0.1311052012
371	0.962026366	0.1309486429
372	0.9624616533	0.1305825287
373	0.9624616533	0.1304268723
374	0.9623787414	0.1303107406
375	0.962606749	0.1301524603
376	0.9627311168	0.1298294152
377	0.9628762126	0.1294382994
378	0.9633114999	0.1290851209
379	0.9632700439	0.1288892888
380	0.963871155	0.128501011
381	0.9639126109	0.1280610771
382	0.9640784346	0.1275473932
383	0.9642442584	0.1273539237
384	0.9644100821	0.1270102801
385	0.9644100821	0.1267187691
386	0.9643478982	0.1264928302
387	0.9645966338	0.1261855952
388	0.964472266	0.1258310568
389	0.9648039134	0.125572195
390	0.9649075533	0.1252434479
391	0.9652806567	0.1249745114
392	0.9654879363	0.1248198588
393	0.9654672084	0.1246417759
394	0.9656123041	0.124340653
395	0.9655293923	0.124137245
396	0.9658195838	0.1238819668
397	0.9659024956	0.1235049589
398	0.9660061355	0.1232300807
399	0.9662341431	0.122954174
400	0.9664621507	0.1226485822
401	0.9665036067	0.1223529497
402	0.9667108863	0.1221510588
403	0.9668559821	0.1220498146
404	0.9668145262	0.1217594179
405	0.9670839897	0.1214911537
406	0.9671669016	0.1212994684
407	0.9672912694	0.1211463271
408	0.9674363651	0.1208845754
409	0.9678094685	0.1207004602
410	0.9680582041	0.120445243
411	0.9680167482	0.1201445938
412	0.9683276677	0.1198009981
413	0.9685764033	0.1194593285
414	0.9685556753	0.1192910506
415	0.968721499	0.1191096597
416	0.9688873228	0.1189787938
417	0.9689080507	0.1188255722
418	0.9689909626	0.1186392926
419	0.9691360584	0.1184494469
420	0.9691775143	0.1183539068
421	0.9693018821	0.118087143
422	0.9696542575	0.1178681012
423	0.9696128016	0.1177117831
424	0.9697164414	0.1174780374
425	0.9699029931	0.11719487
426	0.9701310007	0.1170013485
427	0.9699237211	0.1167720162
428	0.9700066329	0.1165402615
429	0.9701102728	0.1162974388
430	0.9703175524	0.1161008951
431	0.9706284719	0.1157026424
432	0.9709393914	0.1155289352
433	0.9709393914	0.1153308934
434	0.9710015753	0.1150256605
435	0.9711466711	0.1147778338
436	0.9711052152	0.1147040059
437	0.9713124948	0.1144763294
438	0.9712917669	0.1142969368
