iter	Passed	Remaining
0	27	13928
1	52	13155
2	77	12914
3	99	12307
4	122	12120
5	144	11868
6	166	11718
7	188	11574
8	210	11508
9	235	11524
10	262	11666
11	289	11785
12	314	11787
13	342	11888
14	366	11863
15	391	11847
16	415	11811
17	437	11712
18	461	11671
19	485	11640
20	505	11537
21	526	11441
22	547	11350
23	570	11317
24	594	11294
25	614	11206
26	637	11174
27	660	11126
28	683	11099
29	702	11011
30	727	11007
31	750	10973
32	775	10980
33	798	10950
34	822	10929
35	844	10884
36	865	10829
37	891	10840
38	914	10809
39	934	10746
40	958	10730
41	981	10698
42	1005	10691
43	1035	10729
44	1062	10744
45	1086	10728
46	1110	10702
47	1131	10651
48	1154	10626
49	1181	10629
50	1204	10601
51	1230	10598
52	1256	10596
53	1322	10921
54	1348	10908
55	1371	10876
56	1394	10834
57	1418	10811
58	1442	10781
59	1463	10729
60	1488	10710
61	1513	10691
62	1536	10657
63	1558	10617
64	1582	10593
65	1603	10542
66	1624	10497
67	1647	10463
68	1669	10429
69	1692	10396
70	1714	10356
71	1736	10322
72	1757	10277
73	1778	10237
74	1801	10210
75	1822	10169
76	1843	10129
77	1870	10118
78	1895	10101
79	1919	10078
80	1941	10045
81	1964	10016
82	1987	9983
83	2007	9940
84	2029	9910
85	2052	9880
86	2075	9853
87	2097	9821
88	2120	9793
89	2146	9778
90	2170	9757
91	2190	9713
92	2213	9687
93	2235	9653
94	2256	9618
95	2276	9578
96	2297	9546
97	2320	9518
98	2343	9491
99	2365	9461
100	2387	9433
101	2411	9410
102	2433	9378
103	2454	9344
104	2476	9314
105	2498	9285
106	2519	9254
107	2539	9216
108	2561	9187
109	2580	9147
110	2602	9119
111	2623	9087
112	2646	9064
113	2667	9030
114	2688	9001
115	2710	8971
116	2732	8945
117	2755	8921
118	2777	8891
119	2798	8861
120	2819	8831
121	2842	8807
122	2861	8770
123	2883	8743
124	2905	8715
125	2926	8688
126	2948	8658
127	2971	8637
128	2994	8612
129	3018	8590
130	3039	8562
131	3063	8541
132	3083	8509
133	3108	8489
134	3131	8466
135	3154	8443
136	3179	8423
137	3200	8396
138	3222	8369
139	3244	8343
140	3265	8314
141	3288	8290
142	3311	8266
143	3333	8240
144	3354	8212
145	3375	8185
146	3399	8163
147	3421	8136
148	3440	8103
149	3461	8076
150	3483	8050
151	3506	8027
152	3529	8005
153	3551	7978
154	3571	7949
155	3593	7924
156	3617	7902
157	3642	7885
158	3662	7855
159	3685	7831
160	3709	7809
161	3731	7786
162	3754	7762
163	3774	7733
164	3796	7707
165	3817	7680
166	3840	7658
167	3861	7631
168	3883	7606
169	3904	7579
170	3930	7561
171	3954	7541
172	3977	7519
173	4000	7495
174	4021	7468
175	4043	7444
176	4065	7419
177	4087	7393
178	4109	7370
179	4133	7349
180	4156	7326
181	4176	7297
182	4196	7269
183	4216	7241
184	4237	7215
185	4262	7195
186	4285	7172
187	4305	7145
188	4327	7121
189	4350	7098
190	4371	7071
191	4392	7045
192	4412	7019
193	4434	6995
194	4457	6972
195	4481	6950
196	4504	6927
197	4526	6903
198	4550	6883
199	4576	6864
200	4601	6844
201	4627	6826
202	4649	6802
203	4670	6777
204	4693	6754
205	4715	6729
206	4734	6701
207	4757	6678
208	4780	6656
209	4807	6638
210	4830	6616
211	4854	6594
212	4874	6567
213	4896	6543
214	4919	6521
215	4939	6494
216	4959	6467
217	4982	6445
218	5004	6421
219	5026	6397
220	5046	6371
221	5068	6346
222	5090	6322
223	5111	6298
224	5136	6278
225	5159	6255
226	5186	6238
227	5209	6214
228	5230	6189
229	5250	6164
230	5274	6141
231	5295	6116
232	5318	6095
233	5341	6072
234	5364	6048
235	5385	6024
236	5408	6001
237	5430	5978
238	5451	5953
239	5472	5928
240	5492	5902
241	5514	5879
242	5535	5854
243	5555	5828
244	5576	5804
245	5598	5780
246	5619	5755
247	5642	5733
248	5664	5709
249	5686	5686
250	5707	5662
251	5729	5638
252	5751	5615
253	5772	5590
254	5793	5566
255	5816	5543
256	5845	5526
257	5866	5502
258	5888	5478
259	5914	5459
260	5935	5435
261	5958	5412
262	5987	5395
263	6018	5380
264	6047	5362
265	6073	5342
266	6099	5322
267	6125	5302
268	6149	5281
269	6171	5257
270	6196	5236
271	6219	5213
272	6246	5194
273	6273	5174
274	6294	5150
275	6317	5127
276	6342	5105
277	6362	5080
278	6382	5055
279	6402	5030
280	6425	5007
281	6448	4984
282	6470	4961
283	6494	4939
284	6515	4914
285	6537	4891
286	6558	4867
287	6578	4842
288	6599	4818
289	6621	4795
290	6663	4785
291	6696	4769
292	6717	4745
293	6739	4722
294	6759	4697
295	6780	4672
296	6800	4648
297	6823	4625
298	6847	4602
299	6868	4579
300	6889	4554
301	6911	4531
302	6932	4507
303	6954	4483
304	6977	4460
305	7000	4438
306	7024	4416
307	7045	4391
308	7065	4367
309	7089	4345
310	7111	4321
311	7136	4300
312	7158	4276
313	7180	4253
314	7202	4230
315	7227	4208
316	7254	4187
317	7277	4164
318	7300	4142
319	7326	4121
320	7350	4098
321	7374	4076
322	7395	4052
323	7417	4029
324	7438	4005
325	7458	3981
326	7482	3958
327	7503	3934
328	7526	3912
329	7549	3889
330	7570	3865
331	7596	3843
332	7620	3821
333	7644	3799
334	7670	3778
335	7693	3755
336	7713	3730
337	7736	3707
338	7757	3684
339	7780	3661
340	7801	3637
341	7820	3613
342	7841	3589
343	7863	3566
344	7884	3542
345	7903	3517
346	7926	3494
347	7949	3472
348	7973	3449
349	7996	3427
350	8023	3406
351	8047	3383
352	8069	3360
353	8091	3337
354	8114	3314
355	8141	3293
356	8166	3271
357	8272	3281
358	8309	3263
359	8345	3245
360	8369	3222
361	8393	3199
362	8413	3175
363	8436	3152
364	8456	3127
365	8476	3103
366	8499	3080
367	8522	3056
368	8542	3032
369	8563	3008
370	8587	2985
371	8609	2962
372	8634	2940
373	8656	2916
374	8678	2892
375	8698	2868
376	8721	2845
377	8742	2821
378	8764	2798
379	8786	2774
380	8810	2751
381	8835	2729
382	8858	2706
383	8879	2682
384	8903	2659
385	8926	2636
386	8950	2613
387	8972	2589
388	8995	2566
389	9019	2543
390	9041	2520
