,기준_년분기_코드,자치구_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
0,20191,은평구,서적,3631147952.0,162205.0,486657200.0,473437337.0,510719692.0,660755948.0,401069042.0,638867607.0,459641126.0,0.0,95351393.0,698756445.0,1185271760.0,1423684170.0,228084184.0,1597763696.0,2022659831.0,236238543.0,490820358.0,506868771.0,1451752733.0,811994363.0,122748758.0,22517.0,22487.0,23962.0,23087.0,21877.0,25304.0,22971.0,0.0,4852.0,29559.0,46841.0,69066.0,11887.0,61926.0,100068.0,16605.0,36572.0,16849.0,56224.0,28581.0,7162.0
1038,20191,강남구,미용실,34383076735.0,491351.0,2765060607.0,3783971777.0,4584717660.0,5111935642.0,5802792607.0,8337869148.0,3996729294.0,125188752.0,1131540779.0,7615156902.0,11727605987.0,12954165045.0,829419270.0,11970205583.0,21707238426.0,185848563.0,6327998093.0,10193396845.0,8066838790.0,5901801994.0,3001741532.0,50470.0,55036.0,66101.0,70202.0,80169.0,109509.0,59864.0,2478.0,20969.0,116562.0,156865.0,183325.0,11152.0,254734.0,233050.0,5675.0,104389.0,130537.0,118340.0,88902.0,39962.0
1037,20191,강남구,한식음식점,294224392498.0,8173169.0,38291252901.0,43736079368.0,47413417207.0,52367778491.0,51330802009.0,36620025516.0,24465037006.0,15607651955.0,4849174700.0,78295554875.0,21638861111.0,109184800003.0,64648349854.0,126197758935.0,77074440616.0,1076371497.0,38453622979.0,57959698308.0,49720113989.0,33772943521.0,22289449255.0,1212919.0,1259877.0,1359100.0,1459170.0,1417268.0,852886.0,611949.0,274312.0,215728.0,3896962.0,784362.0,2150494.0,851311.0,3940136.0,2916171.0,76321.0,1623633.0,1983018.0,1562279.0,1015680.0,595395.0
1036,20191,서초구,철물점,1271577863.0,47685.0,180937760.0,169802713.0,263798925.0,213771818.0,244658460.0,157182719.0,41425468.0,0.0,455644497.0,341955494.0,361727491.0,106356997.0,5893384.0,512370271.0,276969190.0,363685.0,37674819.0,125896002.0,184284610.0,219458775.0,221661556.0,8157.0,6258.0,7922.0,9136.0,8348.0,5893.0,1971.0,0.0,12738.0,13304.0,14699.0,6724.0,220.0,21440.0,10512.0,24.0,3280.0,6277.0,7679.0,7767.0,6917.0
1035,20191,서초구,핸드폰,5136552604.0,128328.0,1085455613.0,225892418.0,1208996444.0,930500994.0,982805393.0,539683281.0,163218461.0,0.0,97512428.0,1827822402.0,994543112.0,1662797406.0,553877256.0,1448363617.0,3545724801.0,22917077.0,524946803.0,2649397570.0,586318276.0,845188953.0,365319739.0,19263.0,15568.0,20000.0,19061.0,22011.0,20660.0,11765.0,0.0,8088.0,32584.0,35771.0,47441.0,4444.0,65926.0,59599.0,3300.0,29847.0,33821.0,27438.0,20902.0,10216.0
1034,20191,서초구,애완동물,213479017.0,4095.0,30346566.0,17949317.0,27895294.0,43353334.0,25858910.0,54746841.0,13328755.0,0.0,11067256.0,56989580.0,85930002.0,52587637.0,6904542.0,57241115.0,152982950.0,369845.0,43975032.0,56834100.0,34736206.0,40728424.0,33580458.0,516.0,348.0,503.0,792.0,718.0,851.0,367.0,0.0,246.0,936.0,1348.0,1314.0,251.0,1298.0,2766.0,22.0,991.0,888.0,856.0,862.0,443.0
1033,20191,서초구,일반의류,63925307624.0,1207728.0,7800415518.0,7379291711.0,9046797557.0,9290325195.0,9399431748.0,11896202549.0,9112843346.0,0.0,1663970423.0,14880419972.0,22173033424.0,22106546597.0,3101337208.0,20664487200.0,42705209360.0,247184394.0,6900904267.0,9130973326.0,16650877364.0,16921027470.0,13518729740.0,143650.0,146137.0,175609.0,173089.0,181220.0,223608.0,164415.0,0.0,35661.0,269549.0,367503.0,449269.0,85746.0,379987.0,817893.0,15817.0,235515.0,183651.0,312646.0,263557.0,186692.0
1032,20191,서초구,외국어학원,11867006076.0,34093.0,2084071464.0,2361986454.0,1782418621.0,2422759031.0,2207964640.0,607411580.0,400394286.0,5460612.0,2281374422.0,2304057857.0,4394385306.0,2538258321.0,343469558.0,4688794471.0,6746225071.0,30390788.0,723407505.0,2413511271.0,6044314452.0,1756807533.0,466587990.0,6032.0,5676.0,6092.0,6290.0,5842.0,2605.0,1556.0,12.0,5342.0,7212.0,11749.0,8782.0,996.0,13138.0,20328.0,139.0,5584.0,5474.0,14709.0,6205.0,1352.0
1030,20191,서초구,중식음식점,10896803834.0,358948.0,1361336379.0,1545124803.0,1718051575.0,1830531105.0,1934942379.0,1371488953.0,1135328640.0,256518570.0,83114770.0,4138784507.0,1061493952.0,3901772713.0,1455119322.0,5114027189.0,2484496618.0,35402600.0,1115859693.0,1979886129.0,2014432458.0,1407381738.0,1045561184.0,47161.0,53121.0,57054.0,60050.0,60779.0,41592.0,39191.0,7809.0,4051.0,177582.0,43612.0,105048.0,20846.0,191364.0,105040.0,2986.0,59403.0,81744.0,73477.0,49234.0,29549.0
1029,20191,서초구,치과의원,39248354364.0,241830.0,6201005033.0,6607433312.0,6581311654.0,6929649455.0,7229062262.0,5360098903.0,339793745.0,0.0,4909577394.0,12815995911.0,12709631415.0,8676099933.0,137049711.0,18428748243.0,20479223677.0,59113251.0,4574207670.0,6020245674.0,9644179112.0,10388594270.0,8221631943.0,44510.0,41400.0,40071.0,36667.0,42617.0,34961.0,1604.0,0.0,33413.0,74225.0,83798.0,49514.0,880.0,115608.0,125393.0,792.0,33720.0,42436.0,62698.0,51787.0,49570.0
