,기준_년분기_코드,자치구_코드_명,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
64556,20191,성북구,일반의류,1010.0,1011.0,4.8,49.0,3.0,30.0,1.0
64677,20191,노원구,변리사사무소,2.0,2.0,0.0,0.0,0.0,0.0,0.0
64678,20191,동작구,가구,57.0,57.0,5.3,3.0,0.0,0.0,0.0
64679,20191,서대문구,골프연습장,25.0,25.0,0.0,0.0,0.0,0.0,0.0
64680,20191,성동구,동물병원,36.0,37.0,0.0,0.0,0.0,0.0,1.0
64681,20191,동대문구,모터사이클및부품,30.0,30.0,0.0,0.0,0.0,0.0,0.0
64682,20191,영등포구,PC방,79.0,86.0,5.8,5.0,4.7,4.0,7.0
64683,20191,도봉구,가전제품수리,108.0,108.0,6.5,7.0,0.0,0.0,0.0
64612,20191,종로구,인테리어,151.0,151.0,1.3,2.0,2.6,4.0,0.0
64549,20191,금천구,커피-음료,287.0,436.0,7.8,34.0,5.7,25.0,149.0
64550,20191,강북구,치과의원,118.0,118.0,0.0,0.0,0.0,0.0,0.0
64551,20191,노원구,골프연습장,73.0,73.0,4.1,3.0,4.1,3.0,0.0
64552,20191,노원구,자전거 및 기타운송장비,37.0,37.0,0.0,0.0,0.0,0.0,0.0
64553,20191,성북구,치킨전문점,88.0,262.0,3.1,8.0,1.5,4.0,174.0
64554,20191,은평구,골프연습장,42.0,43.0,4.7,2.0,4.7,2.0,1.0
64555,20191,광진구,자동차부품,74.0,75.0,4.0,3.0,1.3,1.0,1.0
64636,20191,구로구,편의점,80.0,285.0,2.8,8.0,2.8,8.0,205.0
64605,20191,관악구,서적,124.0,125.0,8.0,10.0,4.0,5.0,1.0
64606,20191,강서구,의료기기,180.0,182.0,4.4,8.0,1.6,3.0,2.0
64607,20191,금천구,슈퍼마켓,342.0,427.0,3.0,13.0,1.9,8.0,85.0
64608,20191,금천구,시계및귀금속,66.0,75.0,2.7,2.0,0.0,0.0,9.0
64609,20191,마포구,편의점,108.0,414.0,4.1,17.0,4.1,17.0,306.0
64610,20191,서대문구,노래방,158.0,163.0,1.2,2.0,4.9,8.0,5.0
64611,20191,광진구,비디오/서적임대,11.0,13.0,0.0,0.0,0.0,0.0,2.0
64660,20191,종로구,전자상거래업,549.0,549.0,0.2,1.0,0.0,0.0,0.0
64661,20191,광진구,안경,67.0,84.0,0.0,0.0,2.4,2.0,17.0
64662,20191,용산구,핸드폰,250.0,250.0,1.2,3.0,0.8,2.0,0.0
64663,20191,영등포구,독서실,60.0,75.0,4.0,3.0,1.3,1.0,15.0
64632,20191,은평구,일반교습학원,733.0,827.0,3.5,29.0,3.3,27.0,94.0
64633,20191,종로구,커피-음료,1032.0,1280.0,4.8,61.0,2.8,36.0,248.0
64634,20191,강북구,패스트푸드점,52.0,126.0,11.1,14.0,3.2,4.0,74.0
64635,20191,금천구,자전거 및 기타운송장비,21.0,21.0,4.8,1.0,0.0,0.0,0.0
64568,20191,강서구,골프연습장,66.0,67.0,1.5,1.0,3.0,2.0,1.0
64569,20191,동작구,기타법무서비스,21.0,21.0,0.0,0.0,0.0,0.0,0.0
64570,20191,강남구,문구,305.0,369.0,1.9,7.0,1.6,6.0,64.0
64571,20191,서대문구,중식음식점,140.0,153.0,5.2,8.0,0.7,1.0,13.0
64572,20191,금천구,분식전문점,206.0,294.0,4.4,13.0,3.7,11.0,88.0
64573,20191,중구,인테리어,356.0,356.0,3.1,11.0,2.2,8.0,0.0
64574,20191,동대문구,치킨전문점,88.0,239.0,5.4,13.0,4.6,11.0,151.0
64575,20191,양천구,완구,24.0,24.0,8.3,2.0,4.2,1.0,0.0
64560,20191,영등포구,한복점,17.0,17.0,5.9,1.0,0.0,0.0,0.0
64561,20191,송파구,당구장,236.0,247.0,7.3,18.0,5.7,14.0,11.0
64562,20191,중랑구,유아의류,50.0,50.0,2.0,1.0,8.0,4.0,0.0
64563,20191,송파구,게스트하우스,17.0,18.0,16.7,3.0,0.0,0.0,1.0
64564,20191,관악구,문구,87.0,99.0,1.0,1.0,2.0,2.0,12.0
64565,20191,중랑구,자동차수리,195.0,213.0,0.5,1.0,2.3,5.0,18.0
64566,20191,송파구,여관,115.0,119.0,2.5,3.0,2.5,3.0,4.0
64567,20191,강남구,애완동물,137.0,145.0,3.4,5.0,4.1,6.0,8.0
64648,20191,광진구,변호사사무소,21.0,21.0,0.0,0.0,0.0,0.0,0.0
64649,20191,중구,모터사이클수리,44.0,44.0,2.3,1.0,0.0,0.0,0.0
64650,20191,광진구,골프연습장,45.0,45.0,0.0,0.0,2.2,1.0,0.0
64651,20191,광진구,스포츠클럽,95.0,97.0,5.2,5.0,3.1,3.0,2.0
64652,20191,마포구,화장품,588.0,663.0,4.5,30.0,1.7,11.0,75.0
64557,20191,강북구,건축물청소,103.0,107.0,7.5,8.0,1.9,2.0,4.0
64558,20191,강남구,의료기기,380.0,381.0,2.9,11.0,3.1,12.0,1.0
64559,20191,양천구,슈퍼마켓,333.0,444.0,3.4,15.0,2.7,12.0,111.0
64684,20191,강남구,치과의원,600.0,600.0,2.2,13.0,0.7,4.0,0.0
64713,20191,서대문구,DVD방,4.0,4.0,0.0,0.0,0.0,0.0,0.0
64712,20191,성북구,세탁소,231.0,271.0,3.7,10.0,1.8,5.0,40.0
64711,20191,성동구,일반교습학원,398.0,450.0,3.8,17.0,4.9,22.0,52.0
64710,20191,동대문구,가정용품임대,28.0,28.0,17.9,5.0,0.0,0.0,0.0
64645,20191,동작구,의약품,226.0,244.0,1.2,3.0,1.6,4.0,18.0
64646,20191,강북구,예술학원,165.0,168.0,7.1,12.0,4.8,8.0,3.0
64647,20191,서초구,피부관리실,346.0,369.0,3.5,13.0,4.6,17.0,23.0
64504,20191,광진구,컴퓨터및주변장치판매,385.0,385.0,1.3,5.0,0.5,2.0,0.0
64505,20191,중랑구,양식음식점,60.0,69.0,5.8,4.0,1.4,1.0,9.0
